month,CPI,UNEM,INT,EXCHG,M2,M3,FTSE-250
1992-10-31,63.1,10.1,8.4,0.6549646319,347668,498276,2519.9
1992-11-30,63.1,10.2,7.31,0.6447453256,347415,499545,2634.8
1992-12-31,63.2,10.4,6.88,0.6525285481,373179,497351,2864.3
1993-01-31,62.8,10.5,6.72,0.6946856547,370807,494181,2960.7
1993-02-28,63.2,10.7,5.88,0.6841349114,373242,496535,3035.7
1993-03-31,63.6,10.6,5.88,0.6473748948,377770,500516,3104.9
1993-04-30,64.3,10.6,5.88,0.6461200491,379815,500444,3135.8
1993-05-31,64.5,10.5,5.88,0.6630420369,383133,502527,3169.8
1993-06-30,64.5,10.4,5.88,0.6686726847,383537,505243,3238.8
1993-07-31,64.2,10.4,5.88,0.6705109293,383924,508687,3307.8
1993-08-31,64.5,10.3,5.88,0.6558237146,383938,509199,3511.8
1993-09-30,64.8,10.2,5.88,0.6656460095,386898,510516,3431.5
1993-10-31,64.7,10.3,5.88,0.6753106429,388225,513278,3524.7
1993-11-30,64.6,10.2,5.76,0.6705558908,389864,518161,3526
1993-12-31,64.7,10.3,5.38,0.6701065469,394438,522839,3799.2
1994-01-31,64.5,10.3,5.38,0.6760411033,392222,520810,4095.7
1994-02-28,64.8,10.1,5.2,0.6702862122,395454,524967,3964.4
1994-03-31,65,9.9,5.13,0.6746272684,400862,531705,3738.4
1994-04-30,65.5,9.8,5.13,0.6648052121,400681,529787,3786.9
1994-05-31,65.8,9.7,5.13,0.6552221203,401217,535165,3567.6
1994-06-30,65.8,9.7,5.13,0.6465377901,401203,535124,3410.3
1994-07-31,65.4,9.6,5.13,0.6484243289,402463,535606,3637.6
1994-08-31,65.7,9.5,5.13,0.6385288296,401793,536380,3812.7
1994-09-30,65.8,9.4,5.43,0.6225099602,404598,540306,3487.7
1994-10-31,65.7,9.3,5.63,0.6292474201,404333,538441,3511.3
1994-11-30,65.7,9.1,5.63,0.6415602746,405989,544290,3499.4
1994-12-31,66,9,6.02,0.6350819256,410396,546590,3499.5
